127.0.0.1 - - [12/May/2020:13:27:17 +0200] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [12/May/2020:13:27:51 +0200] "GET /CH33TZ/ HTTP/1.1" 200 5000
0:0:0:0:0:0:0:1 - - [12/May/2020:13:27:51 +0200] "GET /CH33TZ/Validations/ValidationLogin.mjs HTTP/1.1" 200 6541
0:0:0:0:0:0:0:1 - - [12/May/2020:13:27:51 +0200] "GET /CH33TZ/Exceptions/ValidationException.mjs HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [12/May/2020:13:27:51 +0200] "GET /CH33TZ/Exceptions/ValidationFormException.mjs HTTP/1.1" 200 1859
0:0:0:0:0:0:0:1 - - [12/May/2020:13:27:52 +0200] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/May/2020:13:28:24 +0200] "GET /CH33TZ/ HTTP/1.1" 200 5001
0:0:0:0:0:0:0:1 - - [12/May/2020:13:28:34 +0200] "GET /CH33TZ/ HTTP/1.1" 200 5004
0:0:0:0:0:0:0:1 - - [12/May/2020:13:30:49 +0200] "GET /CH33TZ/ HTTP/1.1" 200 5004
0:0:0:0:0:0:0:1 - - [12/May/2020:13:30:51 +0200] "GET /CH33TZ/ HTTP/1.1" 200 5004
0:0:0:0:0:0:0:1 - - [12/May/2020:13:30:51 +0200] "GET /CH33TZ/Validations/ValidationLogin.mjs HTTP/1.1" 200 6541
0:0:0:0:0:0:0:1 - - [12/May/2020:13:30:51 +0200] "GET /CH33TZ/Exceptions/ValidationException.mjs HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [12/May/2020:13:30:51 +0200] "GET /CH33TZ/Exceptions/ValidationFormException.mjs HTTP/1.1" 200 1859
0:0:0:0:0:0:0:1 - - [12/May/2020:13:30:51 +0200] "GET /CH33TZ/ HTTP/1.1" 200 5004
0:0:0:0:0:0:0:1 - - [12/May/2020:13:30:51 +0200] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/May/2020:13:30:51 +0200] "GET /CH33TZ/Validations/ValidationLogin.mjs HTTP/1.1" 200 6541
0:0:0:0:0:0:0:1 - - [12/May/2020:13:30:51 +0200] "GET /CH33TZ/Exceptions/ValidationException.mjs HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [12/May/2020:13:30:51 +0200] "GET /CH33TZ/Exceptions/ValidationFormException.mjs HTTP/1.1" 200 1859
0:0:0:0:0:0:0:1 - - [12/May/2020:13:30:51 +0200] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/May/2020:13:30:51 +0200] "GET /CH33TZ/ HTTP/1.1" 200 5004
0:0:0:0:0:0:0:1 - - [12/May/2020:13:30:51 +0200] "GET /CH33TZ/Validations/ValidationLogin.mjs HTTP/1.1" 200 6541
0:0:0:0:0:0:0:1 - - [12/May/2020:13:30:51 +0200] "GET /CH33TZ/Exceptions/ValidationException.mjs HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [12/May/2020:13:30:51 +0200] "GET /CH33TZ/Exceptions/ValidationFormException.mjs HTTP/1.1" 200 1859
0:0:0:0:0:0:0:1 - - [12/May/2020:13:30:51 +0200] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/May/2020:13:33:08 +0200] "GET /CH33TZ/register.jsp HTTP/1.1" 200 6223
0:0:0:0:0:0:0:1 - - [12/May/2020:13:33:08 +0200] "GET /CH33TZ/Validations/ValidationRegister.mjs HTTP/1.1" 200 18927
0:0:0:0:0:0:0:1 - - [12/May/2020:13:33:08 +0200] "GET /CH33TZ/Exceptions/ValidationJSPotentialInjectionException.mjs HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [12/May/2020:13:33:30 +0200] "POST /CH33TZ/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:33:30 +0200] "GET /CH33TZ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:33:31 +0200] "GET /CH33TZ/ HTTP/1.1" 500 2710
0:0:0:0:0:0:0:1 - - [12/May/2020:13:34:36 +0200] "GET /CH33TZ/ HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [12/May/2020:13:34:36 +0200] "GET /CH33TZ/Validations/ValidationLogin.mjs HTTP/1.1" 200 6541
0:0:0:0:0:0:0:1 - - [12/May/2020:13:34:36 +0200] "GET /CH33TZ/Exceptions/ValidationException.mjs HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [12/May/2020:13:34:36 +0200] "GET /CH33TZ/Exceptions/ValidationFormException.mjs HTTP/1.1" 200 1859
0:0:0:0:0:0:0:1 - - [12/May/2020:13:34:37 +0200] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/May/2020:13:35:41 +0200] "GET /CH33TZ/ HTTP/1.1" 200 5012
0:0:0:0:0:0:0:1 - - [12/May/2020:13:35:44 +0200] "GET /CH33TZ/ HTTP/1.1" 200 5012
